wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
Init,1,MainTask,MainTask|Init,Failed,Successful,True,,04/05/2018 14:41:56,04/05/2018 14:41:56,6.7885295,0.00188570263888889,Work Block Init successful,Info,tbd,True,No info
GetSet Data State,1,MainTask,MainTask|GetSet Data State,Failed,Successful,True,,04/05/2018 14:42:03,04/05/2018 14:41:56,2.7820254,0.000773062444444444,Transaction Number 1. Work Block GetSet Data State successful,Info,tbd,True,No info
MainTask,0,,MainTask,Rethrow,Successful,True,,04/05/2018 14:41:56,04/05/2018 14:41:56,10.2490115,0.00284722552777778,Work Block MainTask successful,Info,tbd,True,No info
