wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
Init,1,MainTask,MainTask|Init,Failed,Successful,True,,04/06/2018 10:04:22,04/06/2018 10:04:22,4.7540694,0.00132057483333333,Work Block Init successful,Info,cd93c4e9d45a6199eb68046860453ed1,False,No info
GetSet Data State,1,MainTask,MainTask|GetSet Data State,Failed,Successful,True,,04/06/2018 10:04:27,04/06/2018 10:04:22,3.9440354,0.00109584277777778,Transaction Number 1. Work Block GetSet Data State successful,Info,393ec91be8577f8e5f63f47741ce51ea,False,No info
MainTask,0,,MainTask,Rethrow,Successful,True,,04/06/2018 10:04:22,04/06/2018 10:04:22,9.550061,0.00265279472222222,Work Block MainTask successful,Info,f06b1ee956768375cdc6c8a604b48909,False,No info
